financial_year,council_area,sector,main_client_group,percentage_occupancy
2018/19,Na h-Eileanan Siar,All Sectors,Mental Health Problems,0
2018/19,Na h-Eileanan Siar,All Sectors,Older People Aged 65 and Older,94
2018/19,Na h-Eileanan Siar,All Sectors,Other Groups,0
2018/19,Na h-Eileanan Siar,All Sectors,Physical and Sensory Impairment,0
2018/19,Na h-Eileanan Siar,Local Authority/Health Board Sectors,All Adults,94
2018/19,Na h-Eileanan Siar,Local Authority/Health Board Sectors,Older People Aged 65 and Older,94
2018/19,Na h-Eileanan Siar,Private Sector,All Adults,95
2018/19,Na h-Eileanan Siar,Private Sector,Older People Aged 65 and Older,95
2018/19,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,All Adults,96
2018/19,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,96
2018/19,North Ayrshire,All Sectors,All Adults,87
2018/19,North Ayrshire,All Sectors,Learning Disabilities,82
2018/19,North Ayrshire,All Sectors,Mental Health Problems,100
2018/19,North Ayrshire,All Sectors,Older People Aged 65 and Older,88
2018/19,North Ayrshire,All Sectors,Other Groups,0
2018/19,North Ayrshire,All Sectors,Physical and Sensory Impairment,0
2018/19,North Ayrshire,Local Authority/Health Board Sectors,All Adults,94
2018/19,North Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,94
2018/19,North Ayrshire,Private Sector,All Adults,86
2018/19,North Ayrshire,Private Sector,Older People Aged 65 and Older,87
2018/19,North Ayrshire,Voluntary or Not for Profit Sector,All Adults,95
2018/19,North Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,97
2018/19,North Lanarkshire,All Sectors,All Adults,81
2018/19,North Lanarkshire,All Sectors,Learning Disabilities,95
2018/19,North Lanarkshire,All Sectors,Mental Health Problems,99
2018/19,North Lanarkshire,All Sectors,Older People Aged 65 and Older,80
2018/19,North Lanarkshire,All Sectors,Other Groups,48
2018/19,North Lanarkshire,All Sectors,Physical and Sensory Impairment,100
2018/19,North Lanarkshire,Local Authority/Health Board Sectors,All Adults,100
2018/19,North Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,100
2018/19,North Lanarkshire,Private Sector,All Adults,81
2018/19,North Lanarkshire,Private Sector,Older People Aged 65 and Older,80
2018/19,North Lanarkshire,Voluntary or Not for Profit Sector,All Adults,100
2018/19,North Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,100
2018/19,Orkney Islands,All Sectors,All Adults,87
2018/19,Orkney Islands,All Sectors,Mental Health Problems,0
2018/19,Orkney Islands,All Sectors,Older People Aged 65 and Older,89
2018/19,Orkney Islands,All Sectors,Other Groups,0
2018/19,Orkney Islands,All Sectors,Physical and Sensory Impairment,0
2018/19,Orkney Islands,Local Authority/Health Board Sectors,All Adults,88
2018/19,Orkney Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,89
2018/19,Orkney Islands,Private Sector,All Adults,0
2018/19,Orkney Islands,Private Sector,Older People Aged 65 and Older,0
2018/19,Orkney Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2018/19,Perth and Kinross,All Sectors,All Adults,88
2018/19,Perth and Kinross,All Sectors,Learning Disabilities,96
2018/19,Perth and Kinross,All Sectors,Mental Health Problems,0
2018/19,Perth and Kinross,All Sectors,Older People Aged 65 and Older,87
2018/19,Perth and Kinross,All Sectors,Other Groups,0
2018/19,Perth and Kinross,All Sectors,Physical and Sensory Impairment,97
2018/19,Perth and Kinross,Local Authority/Health Board Sectors,All Adults,80
2018/19,Perth and Kinross,Local Authority/Health Board Sectors,Older People Aged 65 and Older,80
2018/19,Perth and Kinross,Private Sector,All Adults,87
2018/19,Perth and Kinross,Private Sector,Older People Aged 65 and Older,86
2018/19,Perth and Kinross,Voluntary or Not for Profit Sector,All Adults,94
2018/19,Perth and Kinross,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,93
2018/19,Renfrewshire,All Sectors,All Adults,90
2018/19,Renfrewshire,All Sectors,Learning Disabilities,96
2018/19,Renfrewshire,All Sectors,Mental Health Problems,0
2018/19,Renfrewshire,All Sectors,Older People Aged 65 and Older,90
2018/19,Renfrewshire,All Sectors,Other Groups,0
2018/19,Renfrewshire,All Sectors,Physical and Sensory Impairment,100
2018/19,Renfrewshire,Local Authority/Health Board Sectors,All Adults,73
2018/19,Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,71
2018/19,Renfrewshire,Private Sector,All Adults,91
2018/19,Renfrewshire,Private Sector,Older People Aged 65 and Older,91
2018/19,Renfrewshire,Voluntary or Not for Profit Sector,All Adults,96
2018/19,Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,96
2018/19,Scotland,All Sectors,All Adults,87
2018/19,Scotland,All Sectors,Learning Disabilities,89
2018/19,Scotland,All Sectors,Mental Health Problems,92
2018/19,Scotland,All Sectors,Older People Aged 65 and Older,87
2018/19,Scotland,All Sectors,Other Groups,82
2018/19,Scotland,All Sectors,Physical and Sensory Impairment,92
2018/19,Scotland,Local Authority/Health Board Sectors,All Adults,83
2018/19,Scotland,Local Authority/Health Board Sectors,Learning Disabilities,83
2018/19,Scotland,Local Authority/Health Board Sectors,Mental Health Problems,89
2018/19,Scotland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,83
2018/19,Scotland,Local Authority/Health Board Sectors,Other Groups,0
2018/19,Scotland,Local Authority/Health Board Sectors,Physical and Sensory Impairment,73
2018/19,Scotland,Private Sector,All Adults,87
2018/19,Scotland,Private Sector,Learning Disabilities,90
2018/19,Scotland,Private Sector,Mental Health Problems,90
2018/19,Scotland,Private Sector,Older People Aged 65 and Older,86
2018/19,Scotland,Private Sector,Other Groups,60
2018/19,Scotland,Private Sector,Physical and Sensory Impairment,91
2018/19,Scotland,Voluntary or Not for Profit Sector,All Adults,92
2018/19,Scotland,Voluntary or Not for Profit Sector,Learning Disabilities,89
2018/19,Scotland,Voluntary or Not for Profit Sector,Mental Health Problems,96
2018/19,Scotland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,92
2018/19,Scotland,Voluntary or Not for Profit Sector,Other Groups,89
2018/19,Scotland,Voluntary or Not for Profit Sector,Physical and Sensory Impairment,93
2018/19,Scottish Borders,All Sectors,All Adults,84
2018/19,Scottish Borders,All Sectors,Learning Disabilities,90
2018/19,Scottish Borders,All Sectors,Mental Health Problems,0
2018/19,Scottish Borders,All Sectors,Older People Aged 65 and Older,84
2018/19,Scottish Borders,All Sectors,Other Groups,0
2018/19,Scottish Borders,All Sectors,Physical and Sensory Impairment,0
2018/19,Scottish Borders,Local Authority/Health Board Sectors,All Adults,0
2018/19,Scottish Borders,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2018/19,Scottish Borders,Private Sector,All Adults,84
2018/19,Scottish Borders,Private Sector,Older People Aged 65 and Older,84
2018/19,Scottish Borders,Voluntary or Not for Profit Sector,All Adults,90
2018/19,Shetland Islands,All Sectors,All Adults,78
2018/19,Shetland Islands,All Sectors,Mental Health Problems,0
2018/19,Shetland Islands,All Sectors,Older People Aged 65 and Older,80
2018/19,Shetland Islands,All Sectors,Other Groups,0
2018/19,Shetland Islands,All Sectors,Physical and Sensory Impairment,0
2018/19,Shetland Islands,Local Authority/Health Board Sectors,All Adults,77
2018/19,Shetland Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,78
2018/19,Shetland Islands,Private Sector,All Adults,0
2018/19,Shetland Islands,Private Sector,Older People Aged 65 and Older,0
2018/19,Shetland Islands,Voluntary or Not for Profit Sector,All Adults,94
2018/19,Shetland Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,94
2018/19,South Ayrshire,All Sectors,All Adults,88
2018/19,South Ayrshire,All Sectors,Learning Disabilities,86
2018/19,South Ayrshire,All Sectors,Mental Health Problems,0
2018/19,South Ayrshire,All Sectors,Older People Aged 65 and Older,88
2018/19,South Ayrshire,All Sectors,Other Groups,0
2018/19,South Ayrshire,All Sectors,Physical and Sensory Impairment,95
2018/19,South Ayrshire,Local Authority/Health Board Sectors,All Adults,69
2018/19,South Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,67
2018/19,South Ayrshire,Private Sector,All Adults,90
2018/19,South Ayrshire,Private Sector,Older People Aged 65 and Older,90
2018/19,South Ayrshire,Voluntary or Not for Profit Sector,All Adults,85
2018/19,South Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,84
2018/19,South Lanarkshire,All Sectors,All Adults,82
2018/19,South Lanarkshire,All Sectors,Learning Disabilities,90
2018/19,South Lanarkshire,All Sectors,Mental Health Problems,99
2018/19,South Lanarkshire,All Sectors,Older People Aged 65 and Older,82
2018/19,South Lanarkshire,All Sectors,Other Groups,89
2018/19,South Lanarkshire,All Sectors,Physical and Sensory Impairment,88
2018/19,South Lanarkshire,Local Authority/Health Board Sectors,All Adults,73
2018/19,South Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,73
2018/19,South Lanarkshire,Private Sector,All Adults,83
2018/19,South Lanarkshire,Private Sector,Older People Aged 65 and Older,82
2018/19,South Lanarkshire,Voluntary or Not for Profit Sector,All Adults,91
2018/19,South Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,92
2018/19,Stirling,All Sectors,All Adults,72
2018/19,Stirling,All Sectors,Learning Disabilities,94
2018/19,Stirling,All Sectors,Mental Health Problems,96
2018/19,Stirling,All Sectors,Older People Aged 65 and Older,65
2018/19,Stirling,All Sectors,Other Groups,0
2018/19,Stirling,All Sectors,Physical and Sensory Impairment,94
2018/19,Stirling,Local Authority/Health Board Sectors,All Adults,38
2018/19,Stirling,Local Authority/Health Board Sectors,Older People Aged 65 and Older,38
2018/19,Stirling,Private Sector,All Adults,74
2018/19,Stirling,Private Sector,Older People Aged 65 and Older,70
2018/19,Stirling,Voluntary or Not for Profit Sector,All Adults,96
2018/19,Stirling,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,91
2018/19,West Dunbartonshire,All Sectors,All Adults,93
2018/19,West Dunbartonshire,All Sectors,Learning Disabilities,100
2018/19,West Dunbartonshire,All Sectors,Mental Health Problems,0
2018/19,West Dunbartonshire,All Sectors,Older People Aged 65 and Older,93
2018/19,West Dunbartonshire,All Sectors,Other Groups,0
2018/19,West Dunbartonshire,All Sectors,Physical and Sensory Impairment,0
2018/19,West Dunbartonshire,Local Authority/Health Board Sectors,All Adults,89
2018/19,West Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,89
2018/19,West Dunbartonshire,Private Sector,All Adults,95
2018/19,West Dunbartonshire,Private Sector,Older People Aged 65 and Older,95
2018/19,West Dunbartonshire,Voluntary or Not for Profit Sector,All Adults,100
2018/19,West Dunbartonshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2018/19,West Lothian,All Sectors,All Adults,95
2018/19,West Lothian,All Sectors,Learning Disabilities,90
2018/19,West Lothian,All Sectors,Mental Health Problems,0
2018/19,West Lothian,All Sectors,Older People Aged 65 and Older,95
2018/19,West Lothian,All Sectors,Other Groups,0
2018/19,West Lothian,All Sectors,Physical and Sensory Impairment,100
2018/19,West Lothian,Local Authority/Health Board Sectors,All Adults,91
2018/19,West Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,94
2018/19,West Lothian,Private Sector,All Adults,95
2018/19,West Lothian,Private Sector,Older People Aged 65 and Older,95
2018/19,West Lothian,Voluntary or Not for Profit Sector,All Adults,97
2020/21,Aberdeen City,All Sectors,All Adults,81
2020/21,Aberdeen City,All Sectors,Learning Disabilities,76
2020/21,Aberdeen City,All Sectors,Mental Health Problems,87
2020/21,Aberdeen City,All Sectors,Older People Aged 65 and Older,81
2020/21,Aberdeen City,All Sectors,Other Groups,94
2020/21,Aberdeen City,All Sectors,Physical and Sensory Impairment,81
2020/21,Aberdeen City,Local Authority/Health Board Sectors,All Adults,0
2020/21,Aberdeen City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2020/21,Aberdeen City,Private Sector,All Adults,78
2020/21,Aberdeen City,Private Sector,Older People Aged 65 and Older,79
2020/21,Aberdeen City,Voluntary or Not for Profit Sector,All Adults,88
2020/21,Aberdeen City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,93
2020/21,Aberdeenshire,All Sectors,All Adults,87
2020/21,Aberdeenshire,All Sectors,Learning Disabilities,90
2020/21,Aberdeenshire,All Sectors,Mental Health Problems,100
2020/21,Aberdeenshire,All Sectors,Older People Aged 65 and Older,86
2020/21,Aberdeenshire,All Sectors,Other Groups,0
2020/21,Aberdeenshire,All Sectors,Physical and Sensory Impairment,0
2020/21,Aberdeenshire,Local Authority/Health Board Sectors,All Adults,74
2020/21,Aberdeenshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,73
2020/21,Aberdeenshire,Private Sector,All Adults,89
2020/21,Aberdeenshire,Private Sector,Older People Aged 65 and Older,89
2020/21,Aberdeenshire,Voluntary or Not for Profit Sector,All Adults,89
2020/21,Aberdeenshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,87
2020/21,Angus,All Sectors,All Adults,90
2020/21,Angus,All Sectors,Learning Disabilities,84
2020/21,Angus,All Sectors,Mental Health Problems,0
2020/21,Angus,All Sectors,Older People Aged 65 and Older,90
2020/21,Angus,All Sectors,Other Groups,0
2020/21,Angus,All Sectors,Physical and Sensory Impairment,0
2020/21,Angus,Local Authority/Health Board Sectors,All Adults,82
2020/21,Angus,Local Authority/Health Board Sectors,Older People Aged 65 and Older,83
2020/21,Angus,Private Sector,All Adults,91
2020/21,Angus,Private Sector,Older People Aged 65 and Older,91
2020/21,Angus,Voluntary or Not for Profit Sector,All Adults,76
2020/21,Angus,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,76
2020/21,Argyll and Bute,All Sectors,All Adults,85
2020/21,Argyll and Bute,All Sectors,Learning Disabilities,100
2020/21,Argyll and Bute,All Sectors,Mental Health Problems,0
2020/21,Argyll and Bute,All Sectors,Older People Aged 65 and Older,85
2020/21,Argyll and Bute,All Sectors,Other Groups,0
2020/21,Argyll and Bute,All Sectors,Physical and Sensory Impairment,0
2020/21,Argyll and Bute,Local Authority/Health Board Sectors,All Adults,83
2020/21,Argyll and Bute,Local Authority/Health Board Sectors,Older People Aged 65 and Older,83
2020/21,Argyll and Bute,Private Sector,All Adults,85
2020/21,Argyll and Bute,Private Sector,Older People Aged 65 and Older,85
2020/21,Argyll and Bute,Voluntary or Not for Profit Sector,All Adults,0
2020/21,Argyll and Bute,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2020/21,City of Edinburgh,All Sectors,All Adults,79
2020/21,City of Edinburgh,All Sectors,Learning Disabilities,87
2020/21,City of Edinburgh,All Sectors,Mental Health Problems,100
2020/21,City of Edinburgh,All Sectors,Older People Aged 65 and Older,79
2020/21,City of Edinburgh,All Sectors,Other Groups,75
2020/21,City of Edinburgh,All Sectors,Physical and Sensory Impairment,100
2020/21,City of Edinburgh,Local Authority/Health Board Sectors,All Adults,59
2020/21,City of Edinburgh,Local Authority/Health Board Sectors,Older People Aged 65 and Older,58
2020/21,City of Edinburgh,Private Sector,All Adults,81
2020/21,City of Edinburgh,Private Sector,Older People Aged 65 and Older,81
2020/21,City of Edinburgh,Voluntary or Not for Profit Sector,All Adults,87
2020/21,City of Edinburgh,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,86
2020/21,Clackmannanshire,All Sectors,All Adults,78
2020/21,Clackmannanshire,All Sectors,Learning Disabilities,85
2020/21,Clackmannanshire,All Sectors,Mental Health Problems,85
2020/21,Clackmannanshire,All Sectors,Older People Aged 65 and Older,78
2020/21,Clackmannanshire,All Sectors,Other Groups,0
2020/21,Clackmannanshire,All Sectors,Physical and Sensory Impairment,70
2020/21,Clackmannanshire,Local Authority/Health Board Sectors,All Adults,65
2020/21,Clackmannanshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,65
2020/21,Clackmannanshire,Private Sector,All Adults,80
2020/21,Clackmannanshire,Private Sector,Older People Aged 65 and Older,80
2020/21,Clackmannanshire,Voluntary or Not for Profit Sector,All Adults,83
2020/21,Clackmannanshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2020/21,Dumfries and Galloway,All Sectors,All Adults,86
2020/21,Dumfries and Galloway,All Sectors,Learning Disabilities,96
2020/21,Dumfries and Galloway,All Sectors,Mental Health Problems,82
2020/21,Dumfries and Galloway,All Sectors,Older People Aged 65 and Older,87
2020/21,Dumfries and Galloway,All Sectors,Other Groups,0
2020/21,Dumfries and Galloway,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2020/21,Dumfries and Galloway,Private Sector,All Adults,86
2020/21,Dumfries and Galloway,Private Sector,Older People Aged 65 and Older,86
2020/21,Dumfries and Galloway,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,88
2020/21,Dundee City,All Sectors,All Adults,84
2020/21,Dundee City,All Sectors,Learning Disabilities,80
2020/21,Dundee City,All Sectors,Mental Health Problems,0
2020/21,Dundee City,All Sectors,Older People Aged 65 and Older,86
2020/21,Dundee City,All Sectors,Other Groups,45
2020/21,Dundee City,Local Authority/Health Board Sectors,All Adults,63
2020/21,Dundee City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,69
2020/21,Dundee City,Private Sector,All Adults,88
2020/21,Dundee City,Private Sector,Older People Aged 65 and Older,89
2020/21,Dundee City,Voluntary or Not for Profit Sector,All Adults,64
2020/21,Dundee City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,66
2020/21,East Ayrshire,All Sectors,All Adults,82
2020/21,East Ayrshire,All Sectors,Learning Disabilities,75
2020/21,East Ayrshire,All Sectors,Mental Health Problems,25
2020/21,East Ayrshire,All Sectors,Older People Aged 65 and Older,84
2020/21,East Ayrshire,All Sectors,Other Groups,0
2020/21,East Ayrshire,All Sectors,Physical and Sensory Impairment,60
2020/21,East Ayrshire,Voluntary or Not for Profit Sector,All Adults,0
2020/21,East Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2020/21,East Dunbartonshire,All Sectors,All Adults,73
2020/21,East Dunbartonshire,All Sectors,Learning Disabilities,71
2020/21,East Dunbartonshire,All Sectors,Older People Aged 65 and Older,72
2020/21,East Dunbartonshire,All Sectors,Other Groups,0
2020/21,East Dunbartonshire,All Sectors,Physical and Sensory Impairment,95
2020/21,East Dunbartonshire,Local Authority/Health Board Sectors,All Adults,91
2020/21,East Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2020/21,East Dunbartonshire,Private Sector,All Adults,72
2020/21,East Dunbartonshire,Private Sector,Older People Aged 65 and Older,72
2020/21,East Dunbartonshire,Voluntary or Not for Profit Sector,All Adults,100
2020/21,East Dunbartonshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2020/21,East Lothian,All Sectors,All Adults,79
2020/21,East Lothian,All Sectors,Learning Disabilities,100
2020/21,East Lothian,All Sectors,Mental Health Problems,0
2020/21,East Lothian,All Sectors,Older People Aged 65 and Older,78
2020/21,East Lothian,All Sectors,Other Groups,0
2020/21,East Lothian,All Sectors,Physical and Sensory Impairment,100
2020/21,East Lothian,Local Authority/Health Board Sectors,All Adults,85
2020/21,East Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,85
2020/21,East Lothian,Private Sector,All Adults,78
2020/21,East Lothian,Private Sector,Older People Aged 65 and Older,78
2020/21,East Lothian,Voluntary or Not for Profit Sector,All Adults,78
2020/21,East Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,68
2020/21,East Renfrewshire,All Sectors,All Adults,81
2020/21,East Renfrewshire,All Sectors,Learning Disabilities,0
2020/21,East Renfrewshire,All Sectors,Mental Health Problems,0
2020/21,East Renfrewshire,All Sectors,Older People Aged 65 and Older,81
2020/21,East Renfrewshire,All Sectors,Other Groups,0
2020/21,East Renfrewshire,All Sectors,Physical and Sensory Impairment,0
2020/21,East Renfrewshire,Local Authority/Health Board Sectors,All Adults,41
2020/21,East Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,41
2020/21,East Renfrewshire,Private Sector,All Adults,84
2020/21,East Renfrewshire,Private Sector,Older People Aged 65 and Older,84
2020/21,East Renfrewshire,Voluntary or Not for Profit Sector,All Adults,79
2020/21,East Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,79
2020/21,Falkirk,All Sectors,All Adults,82
2020/21,Falkirk,All Sectors,Learning Disabilities,78
2020/21,Falkirk,All Sectors,Mental Health Problems,93
2020/21,Falkirk,All Sectors,Older People Aged 65 and Older,82
2020/21,Falkirk,All Sectors,Other Groups,0
2020/21,Falkirk,All Sectors,Physical and Sensory Impairment,0
2020/21,Falkirk,Local Authority/Health Board Sectors,All Adults,68
2020/21,Falkirk,Local Authority/Health Board Sectors,Older People Aged 65 and Older,66
2020/21,Falkirk,Private Sector,All Adults,84
2020/21,Falkirk,Private Sector,Older People Aged 65 and Older,84
2020/21,Falkirk,Voluntary or Not for Profit Sector,All Adults,95
2020/21,Falkirk,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,97
2020/21,Fife,All Sectors,All Adults,85
2020/21,Fife,All Sectors,Learning Disabilities,84
2020/21,Fife,All Sectors,Mental Health Problems,100
2020/21,Fife,All Sectors,Older People Aged 65 and Older,85
2020/21,Fife,All Sectors,Other Groups,0
2020/21,Fife,All Sectors,Physical and Sensory Impairment,66
2020/21,Fife,Local Authority/Health Board Sectors,All Adults,88
2020/21,Fife,Local Authority/Health Board Sectors,Older People Aged 65 and Older,87
2020/21,Fife,Private Sector,All Adults,85
2020/21,Fife,Private Sector,Older People Aged 65 and Older,85
2020/21,Fife,Voluntary or Not for Profit Sector,All Adults,79
2020/21,Fife,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,82
2020/21,Glasgow City,All Sectors,All Adults,82
2020/21,Glasgow City,All Sectors,Learning Disabilities,95
2020/21,Glasgow City,All Sectors,Mental Health Problems,94
2020/21,Glasgow City,All Sectors,Older People Aged 65 and Older,81
2020/21,Glasgow City,All Sectors,Other Groups,86
2020/21,Glasgow City,All Sectors,Physical and Sensory Impairment,81
2020/21,Glasgow City,Local Authority/Health Board Sectors,All Adults,91
2020/21,Glasgow City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,91
2020/21,Glasgow City,Private Sector,All Adults,80
2020/21,Glasgow City,Private Sector,Older People Aged 65 and Older,79
2020/21,Glasgow City,Voluntary or Not for Profit Sector,All Adults,88
2020/21,Glasgow City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,85
2020/21,Highland,All Sectors,All Adults,84
2020/21,Highland,All Sectors,Learning Disabilities,80
2020/21,Highland,All Sectors,Mental Health Problems,95
2020/21,Highland,All Sectors,Older People Aged 65 and Older,84
2020/21,Highland,All Sectors,Other Groups,60
2020/21,Highland,All Sectors,Physical and Sensory Impairment,88
2020/21,Highland,Local Authority/Health Board Sectors,All Adults,77
2020/21,Highland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,77
2020/21,Highland,Private Sector,All Adults,85
2020/21,Highland,Private Sector,Older People Aged 65 and Older,84
2020/21,Highland,Voluntary or Not for Profit Sector,All Adults,88
2020/21,Highland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,93
2020/21,Inverclyde,All Sectors,All Adults,86
2020/21,Inverclyde,All Sectors,Learning Disabilities,85
2020/21,Inverclyde,All Sectors,Mental Health Problems,100
2020/21,Inverclyde,All Sectors,Older People Aged 65 and Older,86
2020/21,Inverclyde,All Sectors,Other Groups,0
2020/21,Inverclyde,All Sectors,Physical and Sensory Impairment,100
2020/21,Inverclyde,Private Sector,All Adults,87
2020/21,Inverclyde,Private Sector,Older People Aged 65 and Older,87
2020/21,Midlothian,All Sectors,All Adults,85
2020/21,Midlothian,All Sectors,Learning Disabilities,100
2020/21,Midlothian,All Sectors,Mental Health Problems,0
2020/21,Midlothian,All Sectors,Older People Aged 65 and Older,85
2020/21,Midlothian,All Sectors,Other Groups,0
2020/21,Midlothian,All Sectors,Physical and Sensory Impairment,0
2020/21,Midlothian,Local Authority/Health Board Sectors,All Adults,82
2020/21,Midlothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,82
2020/21,Midlothian,Private Sector,All Adults,86
2020/21,Midlothian,Private Sector,Older People Aged 65 and Older,86
2020/21,Midlothian,Voluntary or Not for Profit Sector,All Adults,88
2020/21,Midlothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,85
2020/21,Moray,All Sectors,All Adults,89
2020/21,Moray,All Sectors,Learning Disabilities,100
2020/21,Moray,All Sectors,Mental Health Problems,0
2020/21,Moray,All Sectors,Older People Aged 65 and Older,89
2020/21,Moray,All Sectors,Other Groups,0
2020/21,Moray,All Sectors,Physical and Sensory Impairment,0
2020/21,Moray,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2020/21,Moray,Private Sector,All Adults,89
2020/21,Moray,Private Sector,Older People Aged 65 and Older,89
2020/21,Moray,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,89
2020/21,Na h-Eileanan Siar,All Sectors,All Adults,94
2020/21,Na h-Eileanan Siar,All Sectors,Learning Disabilities,67
2020/21,Na h-Eileanan Siar,All Sectors,Mental Health Problems,0
2020/21,Na h-Eileanan Siar,All Sectors,Older People Aged 65 and Older,96
2020/21,Na h-Eileanan Siar,All Sectors,Other Groups,0
2020/21,Na h-Eileanan Siar,All Sectors,Physical and Sensory Impairment,0
2020/21,Na h-Eileanan Siar,Local Authority/Health Board Sectors,All Adults,96
2020/21,Na h-Eileanan Siar,Local Authority/Health Board Sectors,Older People Aged 65 and Older,98
2020/21,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,All Adults,89
2020/21,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,89
2020/21,North Ayrshire,All Sectors,All Adults,83
2020/21,North Ayrshire,All Sectors,Learning Disabilities,89
2020/21,North Ayrshire,All Sectors,Mental Health Problems,100
2020/21,North Ayrshire,All Sectors,Older People Aged 65 and Older,82
2020/21,North Ayrshire,All Sectors,Other Groups,0
2020/21,North Ayrshire,All Sectors,Physical and Sensory Impairment,100
2020/21,North Ayrshire,Local Authority/Health Board Sectors,All Adults,70
2020/21,North Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,73
2020/21,North Ayrshire,Private Sector,All Adults,84
2020/21,North Ayrshire,Private Sector,Older People Aged 65 and Older,82
2020/21,North Ayrshire,Voluntary or Not for Profit Sector,All Adults,85
2020/21,North Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,84
2020/21,North Lanarkshire,All Sectors,All Adults,77
2020/21,North Lanarkshire,All Sectors,Learning Disabilities,0
2020/21,North Lanarkshire,All Sectors,Mental Health Problems,99
2020/21,North Lanarkshire,All Sectors,Older People Aged 65 and Older,77
2020/21,North Lanarkshire,All Sectors,Other Groups,0
2020/21,North Lanarkshire,All Sectors,Physical and Sensory Impairment,81
2020/21,North Lanarkshire,Local Authority/Health Board Sectors,All Adults,57
2020/21,North Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,57
2020/21,North Lanarkshire,Private Sector,All Adults,77
2020/21,North Lanarkshire,Private Sector,Older People Aged 65 and Older,76
2020/21,North Lanarkshire,Voluntary or Not for Profit Sector,All Adults,100
2020/21,North Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,100
2020/21,Orkney Islands,All Sectors,All Adults,91
2020/21,Orkney Islands,All Sectors,Mental Health Problems,0
2020/21,Orkney Islands,All Sectors,Older People Aged 65 and Older,93
2020/21,Orkney Islands,All Sectors,Other Groups,0
2020/21,Orkney Islands,All Sectors,Physical and Sensory Impairment,0
