date,council_area_2019,main_client_group,sector,number_of_places,council_area,financial_year
2020-03-31,S12000020,All Adults,Voluntary or Not for Profit Sector,NA,Moray,2019/20
2020-03-31,S12000021,All Adults,All Sectors,NA,North Ayrshire,2019/20
2020-03-31,S12000021,All Adults,Local Authority/Health Board Sectors,NA,North Ayrshire,2019/20
2020-03-31,S12000021,All Adults,Private Sector,NA,North Ayrshire,2019/20
2020-03-31,S12000021,All Adults,Voluntary or Not for Profit Sector,NA,North Ayrshire,2019/20
2020-03-31,S12000023,All Adults,All Sectors,NA,Orkney Islands,2019/20
2020-03-31,S12000023,All Adults,Local Authority/Health Board Sectors,NA,Orkney Islands,2019/20
2020-03-31,S12000023,All Adults,Private Sector,NA,Orkney Islands,2019/20
2020-03-31,S12000023,All Adults,Voluntary or Not for Profit Sector,NA,Orkney Islands,2019/20
2020-03-31,S12000026,All Adults,All Sectors,NA,Scottish Borders,2019/20
2020-03-31,S12000026,All Adults,Local Authority/Health Board Sectors,NA,Scottish Borders,2019/20
2020-03-31,S12000026,All Adults,Private Sector,NA,Scottish Borders,2019/20
2020-03-31,S12000026,All Adults,Voluntary or Not for Profit Sector,NA,Scottish Borders,2019/20
2020-03-31,S12000027,All Adults,All Sectors,NA,Shetland Islands,2019/20
2020-03-31,S12000027,All Adults,Local Authority/Health Board Sectors,NA,Shetland Islands,2019/20
2020-03-31,S12000027,All Adults,Private Sector,NA,Shetland Islands,2019/20
2020-03-31,S12000027,All Adults,Voluntary or Not for Profit Sector,NA,Shetland Islands,2019/20
2020-03-31,S12000028,All Adults,All Sectors,NA,South Ayrshire,2019/20
2020-03-31,S12000028,All Adults,Local Authority/Health Board Sectors,NA,South Ayrshire,2019/20
2020-03-31,S12000028,All Adults,Private Sector,NA,South Ayrshire,2019/20
2020-03-31,S12000028,All Adults,Voluntary or Not for Profit Sector,NA,South Ayrshire,2019/20
2020-03-31,S12000029,All Adults,All Sectors,NA,South Lanarkshire,2019/20
2020-03-31,S12000029,All Adults,Local Authority/Health Board Sectors,NA,South Lanarkshire,2019/20
2020-03-31,S12000029,All Adults,Private Sector,NA,South Lanarkshire,2019/20
2020-03-31,S12000029,All Adults,Voluntary or Not for Profit Sector,NA,South Lanarkshire,2019/20
2020-03-31,S12000030,All Adults,All Sectors,NA,Stirling,2019/20
2020-03-31,S12000030,All Adults,Local Authority/Health Board Sectors,NA,Stirling,2019/20
2020-03-31,S12000030,All Adults,Private Sector,NA,Stirling,2019/20
2020-03-31,S12000030,All Adults,Voluntary or Not for Profit Sector,NA,Stirling,2019/20
2020-03-31,S12000033,All Adults,All Sectors,NA,Aberdeen City,2019/20
2020-03-31,S12000033,All Adults,Local Authority/Health Board Sectors,NA,Aberdeen City,2019/20
2020-03-31,S12000033,All Adults,Private Sector,NA,Aberdeen City,2019/20
2020-03-31,S12000033,All Adults,Voluntary or Not for Profit Sector,NA,Aberdeen City,2019/20
2020-03-31,S12000034,All Adults,All Sectors,NA,Aberdeenshire,2019/20
2020-03-31,S12000034,All Adults,Local Authority/Health Board Sectors,NA,Aberdeenshire,2019/20
2020-03-31,S12000034,All Adults,Private Sector,NA,Aberdeenshire,2019/20
2020-03-31,S12000034,All Adults,Voluntary or Not for Profit Sector,NA,Aberdeenshire,2019/20
2020-03-31,S12000035,All Adults,All Sectors,NA,Argyll and Bute,2019/20
2020-03-31,S12000035,All Adults,Local Authority/Health Board Sectors,NA,Argyll and Bute,2019/20
2020-03-31,S12000035,All Adults,Private Sector,NA,Argyll and Bute,2019/20
2020-03-31,S12000035,All Adults,Voluntary or Not for Profit Sector,NA,Argyll and Bute,2019/20
2020-03-31,S12000036,All Adults,All Sectors,NA,City of Edinburgh,2019/20
2020-03-31,S12000036,All Adults,Local Authority/Health Board Sectors,NA,City of Edinburgh,2019/20
2020-03-31,S12000036,All Adults,Private Sector,NA,City of Edinburgh,2019/20
2020-03-31,S12000036,All Adults,Voluntary or Not for Profit Sector,NA,City of Edinburgh,2019/20
2020-03-31,S12000038,All Adults,All Sectors,NA,Renfrewshire,2019/20
2020-03-31,S12000038,All Adults,Local Authority/Health Board Sectors,NA,Renfrewshire,2019/20
2020-03-31,S12000038,All Adults,Private Sector,NA,Renfrewshire,2019/20
2020-03-31,S12000038,All Adults,Voluntary or Not for Profit Sector,NA,Renfrewshire,2019/20
2020-03-31,S12000039,All Adults,All Sectors,NA,West Dunbartonshire,2019/20
2020-03-31,S12000039,All Adults,Local Authority/Health Board Sectors,NA,West Dunbartonshire,2019/20
2020-03-31,S12000039,All Adults,Private Sector,NA,West Dunbartonshire,2019/20
2020-03-31,S12000039,All Adults,Voluntary or Not for Profit Sector,NA,West Dunbartonshire,2019/20
2020-03-31,S12000040,All Adults,All Sectors,NA,West Lothian,2019/20
2020-03-31,S12000040,All Adults,Local Authority/Health Board Sectors,NA,West Lothian,2019/20
2020-03-31,S12000040,All Adults,Private Sector,NA,West Lothian,2019/20
2020-03-31,S12000040,All Adults,Voluntary or Not for Profit Sector,NA,West Lothian,2019/20
2020-03-31,S12000041,All Adults,All Sectors,NA,Angus,2019/20
2020-03-31,S12000041,All Adults,Local Authority/Health Board Sectors,NA,Angus,2019/20
2020-03-31,S12000041,All Adults,Private Sector,NA,Angus,2019/20
2020-03-31,S12000041,All Adults,Voluntary or Not for Profit Sector,NA,Angus,2019/20
2020-03-31,S12000042,All Adults,All Sectors,NA,Dundee City,2019/20
2020-03-31,S12000042,All Adults,Local Authority/Health Board Sectors,NA,Dundee City,2019/20
2020-03-31,S12000042,All Adults,Private Sector,NA,Dundee City,2019/20
2020-03-31,S12000042,All Adults,Voluntary or Not for Profit Sector,NA,Dundee City,2019/20
2020-03-31,S12000045,All Adults,All Sectors,NA,East Dunbartonshire,2019/20
2020-03-31,S12000045,All Adults,Local Authority/Health Board Sectors,NA,East Dunbartonshire,2019/20
2020-03-31,S12000045,All Adults,Private Sector,NA,East Dunbartonshire,2019/20
2020-03-31,S12000045,All Adults,Voluntary or Not for Profit Sector,NA,East Dunbartonshire,2019/20
2020-03-31,S12000047,All Adults,All Sectors,NA,Fife,2019/20
2020-03-31,S12000047,All Adults,Local Authority/Health Board Sectors,NA,Fife,2019/20
2020-03-31,S12000047,All Adults,Private Sector,NA,Fife,2019/20
2020-03-31,S12000047,All Adults,Voluntary or Not for Profit Sector,NA,Fife,2019/20
2020-03-31,S12000048,All Adults,All Sectors,NA,Perth and Kinross,2019/20
2020-03-31,S12000048,All Adults,Local Authority/Health Board Sectors,NA,Perth and Kinross,2019/20
2020-03-31,S12000048,All Adults,Private Sector,NA,Perth and Kinross,2019/20
2020-03-31,S12000048,All Adults,Voluntary or Not for Profit Sector,NA,Perth and Kinross,2019/20
2020-03-31,S12000049,All Adults,All Sectors,NA,Glasgow City,2019/20
2020-03-31,S12000049,All Adults,Local Authority/Health Board Sectors,NA,Glasgow City,2019/20
2020-03-31,S12000049,All Adults,Private Sector,NA,Glasgow City,2019/20
2020-03-31,S12000049,All Adults,Voluntary or Not for Profit Sector,NA,Glasgow City,2019/20
2020-03-31,S12000050,All Adults,All Sectors,NA,North Lanarkshire,2019/20
2020-03-31,S12000050,All Adults,Local Authority/Health Board Sectors,NA,North Lanarkshire,2019/20
2020-03-31,S12000050,All Adults,Private Sector,NA,North Lanarkshire,2019/20
2020-03-31,S12000050,All Adults,Voluntary or Not for Profit Sector,NA,North Lanarkshire,2019/20
2020-03-31,S92000003,All Adults,All Sectors,NA,Scotland,2019/20
2020-03-31,S92000003,All Adults,Local Authority/Health Board Sectors,NA,Scotland,2019/20
2020-03-31,S92000003,All Adults,Private Sector,NA,Scotland,2019/20
2020-03-31,S92000003,All Adults,Voluntary or Not for Profit Sector,NA,Scotland,2019/20
2020-03-31,S12000005,Learning Disabilities,All Sectors,NA,Clackmannanshire,2019/20
2020-03-31,S12000006,Learning Disabilities,All Sectors,NA,Dumfries and Galloway,2019/20
2020-03-31,S12000008,Learning Disabilities,All Sectors,NA,East Ayrshire,2019/20
2020-03-31,S12000010,Learning Disabilities,All Sectors,NA,East Lothian,2019/20
2020-03-31,S12000011,Learning Disabilities,All Sectors,NA,East Renfrewshire,2019/20
2020-03-31,S12000013,Learning Disabilities,All Sectors,NA,Na h-Eileanan Siar,2019/20
2020-03-31,S12000014,Learning Disabilities,All Sectors,NA,Falkirk,2019/20
2020-03-31,S12000017,Learning Disabilities,All Sectors,NA,Highland,2019/20
2020-03-31,S12000018,Learning Disabilities,All Sectors,NA,Inverclyde,2019/20
2020-03-31,S12000019,Learning Disabilities,All Sectors,NA,Midlothian,2019/20
2020-03-31,S12000020,Learning Disabilities,All Sectors,NA,Moray,2019/20
2020-03-31,S12000021,Learning Disabilities,All Sectors,NA,North Ayrshire,2019/20
2020-03-31,S12000023,Learning Disabilities,All Sectors,NA,Orkney Islands,2019/20
2020-03-31,S12000026,Learning Disabilities,All Sectors,NA,Scottish Borders,2019/20
2020-03-31,S12000027,Learning Disabilities,All Sectors,NA,Shetland Islands,2019/20
2020-03-31,S12000028,Learning Disabilities,All Sectors,NA,South Ayrshire,2019/20
2020-03-31,S12000029,Learning Disabilities,All Sectors,NA,South Lanarkshire,2019/20
2020-03-31,S12000030,Learning Disabilities,All Sectors,NA,Stirling,2019/20
2020-03-31,S12000033,Learning Disabilities,All Sectors,NA,Aberdeen City,2019/20
2020-03-31,S12000034,Learning Disabilities,All Sectors,NA,Aberdeenshire,2019/20
2020-03-31,S12000035,Learning Disabilities,All Sectors,NA,Argyll and Bute,2019/20
2020-03-31,S12000036,Learning Disabilities,All Sectors,NA,City of Edinburgh,2019/20
2020-03-31,S12000038,Learning Disabilities,All Sectors,NA,Renfrewshire,2019/20
2020-03-31,S12000039,Learning Disabilities,All Sectors,NA,West Dunbartonshire,2019/20
2020-03-31,S12000040,Learning Disabilities,All Sectors,NA,West Lothian,2019/20
2020-03-31,S12000041,Learning Disabilities,All Sectors,NA,Angus,2019/20
2020-03-31,S12000042,Learning Disabilities,All Sectors,NA,Dundee City,2019/20
2020-03-31,S12000045,Learning Disabilities,All Sectors,NA,East Dunbartonshire,2019/20
2020-03-31,S12000047,Learning Disabilities,All Sectors,NA,Fife,2019/20
2020-03-31,S12000048,Learning Disabilities,All Sectors,NA,Perth and Kinross,2019/20
2020-03-31,S12000049,Learning Disabilities,All Sectors,NA,Glasgow City,2019/20
2020-03-31,S12000050,Learning Disabilities,All Sectors,NA,North Lanarkshire,2019/20
2020-03-31,S92000003,Learning Disabilities,All Sectors,NA,Scotland,2019/20
2020-03-31,S92000003,Learning Disabilities,Local Authority/Health Board Sectors,NA,Scotland,2019/20
2020-03-31,S92000003,Learning Disabilities,Private Sector,NA,Scotland,2019/20
2020-03-31,S92000003,Learning Disabilities,Voluntary or Not for Profit Sector,NA,Scotland,2019/20
2020-03-31,S12000005,Mental Health Problems,All Sectors,NA,Clackmannanshire,2019/20
2020-03-31,S12000006,Mental Health Problems,All Sectors,NA,Dumfries and Galloway,2019/20
2020-03-31,S12000008,Mental Health Problems,All Sectors,NA,East Ayrshire,2019/20
2020-03-31,S12000010,Mental Health Problems,All Sectors,NA,East Lothian,2019/20
2020-03-31,S12000011,Mental Health Problems,All Sectors,NA,East Renfrewshire,2019/20
2020-03-31,S12000013,Mental Health Problems,All Sectors,NA,Na h-Eileanan Siar,2019/20
2020-03-31,S12000014,Mental Health Problems,All Sectors,NA,Falkirk,2019/20
2020-03-31,S12000017,Mental Health Problems,All Sectors,NA,Highland,2019/20
2020-03-31,S12000018,Mental Health Problems,All Sectors,NA,Inverclyde,2019/20
2020-03-31,S12000019,Mental Health Problems,All Sectors,NA,Midlothian,2019/20
2020-03-31,S12000020,Mental Health Problems,All Sectors,NA,Moray,2019/20
2020-03-31,S12000021,Mental Health Problems,All Sectors,NA,North Ayrshire,2019/20
2020-03-31,S12000023,Mental Health Problems,All Sectors,NA,Orkney Islands,2019/20
2020-03-31,S12000026,Mental Health Problems,All Sectors,NA,Scottish Borders,2019/20
2020-03-31,S12000027,Mental Health Problems,All Sectors,NA,Shetland Islands,2019/20
2020-03-31,S12000028,Mental Health Problems,All Sectors,NA,South Ayrshire,2019/20
2020-03-31,S12000029,Mental Health Problems,All Sectors,NA,South Lanarkshire,2019/20
2020-03-31,S12000030,Mental Health Problems,All Sectors,NA,Stirling,2019/20
2020-03-31,S12000033,Mental Health Problems,All Sectors,NA,Aberdeen City,2019/20
2020-03-31,S12000034,Mental Health Problems,All Sectors,NA,Aberdeenshire,2019/20
2020-03-31,S12000035,Mental Health Problems,All Sectors,NA,Argyll and Bute,2019/20
2020-03-31,S12000036,Mental Health Problems,All Sectors,NA,City of Edinburgh,2019/20
2020-03-31,S12000038,Mental Health Problems,All Sectors,NA,Renfrewshire,2019/20
2020-03-31,S12000039,Mental Health Problems,All Sectors,NA,West Dunbartonshire,2019/20
2020-03-31,S12000040,Mental Health Problems,All Sectors,NA,West Lothian,2019/20
2020-03-31,S12000041,Mental Health Problems,All Sectors,NA,Angus,2019/20
2020-03-31,S12000042,Mental Health Problems,All Sectors,NA,Dundee City,2019/20
2020-03-31,S12000045,Mental Health Problems,All Sectors,NA,East Dunbartonshire,2019/20
2020-03-31,S12000047,Mental Health Problems,All Sectors,NA,Fife,2019/20
2020-03-31,S12000048,Mental Health Problems,All Sectors,NA,Perth and Kinross,2019/20
2020-03-31,S12000049,Mental Health Problems,All Sectors,NA,Glasgow City,2019/20
2020-03-31,S12000050,Mental Health Problems,All Sectors,NA,North Lanarkshire,2019/20
2020-03-31,S92000003,Mental Health Problems,All Sectors,NA,Scotland,2019/20
2020-03-31,S92000003,Mental Health Problems,Local Authority/Health Board Sectors,NA,Scotland,2019/20
2020-03-31,S92000003,Mental Health Problems,Private Sector,NA,Scotland,2019/20
2020-03-31,S92000003,Mental Health Problems,Voluntary or Not for Profit Sector,NA,Scotland,2019/20
2020-03-31,S12000005,Older People Aged 65 and Older,All Sectors,NA,Clackmannanshire,2019/20
2020-03-31,S12000005,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Clackmannanshire,2019/20
2020-03-31,S12000005,Older People Aged 65 and Older,Private Sector,NA,Clackmannanshire,2019/20
2020-03-31,S12000005,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Clackmannanshire,2019/20
2020-03-31,S12000006,Older People Aged 65 and Older,All Sectors,NA,Dumfries and Galloway,2019/20
2020-03-31,S12000006,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Dumfries and Galloway,2019/20
2020-03-31,S12000006,Older People Aged 65 and Older,Private Sector,NA,Dumfries and Galloway,2019/20
2020-03-31,S12000006,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Dumfries and Galloway,2019/20
2020-03-31,S12000008,Older People Aged 65 and Older,All Sectors,NA,East Ayrshire,2019/20
2020-03-31,S12000008,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,East Ayrshire,2019/20
2020-03-31,S12000008,Older People Aged 65 and Older,Private Sector,NA,East Ayrshire,2019/20
2020-03-31,S12000008,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,East Ayrshire,2019/20
2020-03-31,S12000010,Older People Aged 65 and Older,All Sectors,NA,East Lothian,2019/20
2020-03-31,S12000010,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,East Lothian,2019/20
2020-03-31,S12000010,Older People Aged 65 and Older,Private Sector,NA,East Lothian,2019/20
2020-03-31,S12000010,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,East Lothian,2019/20
2020-03-31,S12000011,Older People Aged 65 and Older,All Sectors,NA,East Renfrewshire,2019/20
2020-03-31,S12000011,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,East Renfrewshire,2019/20
2020-03-31,S12000011,Older People Aged 65 and Older,Private Sector,NA,East Renfrewshire,2019/20
2020-03-31,S12000011,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,East Renfrewshire,2019/20
2020-03-31,S12000013,Older People Aged 65 and Older,All Sectors,NA,Na h-Eileanan Siar,2019/20
2020-03-31,S12000013,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Na h-Eileanan Siar,2019/20
2020-03-31,S12000013,Older People Aged 65 and Older,Private Sector,NA,Na h-Eileanan Siar,2019/20
2020-03-31,S12000013,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Na h-Eileanan Siar,2019/20
2020-03-31,S12000014,Older People Aged 65 and Older,All Sectors,NA,Falkirk,2019/20
2020-03-31,S12000014,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Falkirk,2019/20
2020-03-31,S12000014,Older People Aged 65 and Older,Private Sector,NA,Falkirk,2019/20
2020-03-31,S12000014,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Falkirk,2019/20
2020-03-31,S12000017,Older People Aged 65 and Older,All Sectors,NA,Highland,2019/20
2020-03-31,S12000017,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Highland,2019/20
2020-03-31,S12000017,Older People Aged 65 and Older,Private Sector,NA,Highland,2019/20
2020-03-31,S12000017,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Highland,2019/20
2020-03-31,S12000018,Older People Aged 65 and Older,All Sectors,NA,Inverclyde,2019/20
2020-03-31,S12000018,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Inverclyde,2019/20
2020-03-31,S12000018,Older People Aged 65 and Older,Private Sector,NA,Inverclyde,2019/20
2020-03-31,S12000018,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Inverclyde,2019/20
2020-03-31,S12000019,Older People Aged 65 and Older,All Sectors,NA,Midlothian,2019/20
2020-03-31,S12000019,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Midlothian,2019/20
2020-03-31,S12000019,Older People Aged 65 and Older,Private Sector,NA,Midlothian,2019/20
2020-03-31,S12000019,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Midlothian,2019/20
2020-03-31,S12000020,Older People Aged 65 and Older,All Sectors,NA,Moray,2019/20
2020-03-31,S12000020,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Moray,2019/20
2020-03-31,S12000020,Older People Aged 65 and Older,Private Sector,NA,Moray,2019/20
2020-03-31,S12000020,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Moray,2019/20
2020-03-31,S12000021,Older People Aged 65 and Older,All Sectors,NA,North Ayrshire,2019/20
2020-03-31,S12000021,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,North Ayrshire,2019/20
2020-03-31,S12000021,Older People Aged 65 and Older,Private Sector,NA,North Ayrshire,2019/20
2020-03-31,S12000021,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,North Ayrshire,2019/20
2020-03-31,S12000023,Older People Aged 65 and Older,All Sectors,NA,Orkney Islands,2019/20
2020-03-31,S12000023,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Orkney Islands,2019/20
2020-03-31,S12000023,Older People Aged 65 and Older,Private Sector,NA,Orkney Islands,2019/20
2020-03-31,S12000023,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Orkney Islands,2019/20
2020-03-31,S12000026,Older People Aged 65 and Older,All Sectors,NA,Scottish Borders,2019/20
2020-03-31,S12000026,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Scottish Borders,2019/20
2020-03-31,S12000026,Older People Aged 65 and Older,Private Sector,NA,Scottish Borders,2019/20
2020-03-31,S12000026,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Scottish Borders,2019/20
2020-03-31,S12000027,Older People Aged 65 and Older,All Sectors,NA,Shetland Islands,2019/20
2020-03-31,S12000027,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Shetland Islands,2019/20
2020-03-31,S12000027,Older People Aged 65 and Older,Private Sector,NA,Shetland Islands,2019/20
2020-03-31,S12000027,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Shetland Islands,2019/20
2020-03-31,S12000028,Older People Aged 65 and Older,All Sectors,NA,South Ayrshire,2019/20
2020-03-31,S12000028,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,South Ayrshire,2019/20
2020-03-31,S12000028,Older People Aged 65 and Older,Private Sector,NA,South Ayrshire,2019/20
2020-03-31,S12000028,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,South Ayrshire,2019/20
2020-03-31,S12000029,Older People Aged 65 and Older,All Sectors,NA,South Lanarkshire,2019/20
2020-03-31,S12000029,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,South Lanarkshire,2019/20
2020-03-31,S12000029,Older People Aged 65 and Older,Private Sector,NA,South Lanarkshire,2019/20
2020-03-31,S12000029,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,South Lanarkshire,2019/20
2020-03-31,S12000030,Older People Aged 65 and Older,All Sectors,NA,Stirling,2019/20
2020-03-31,S12000030,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Stirling,2019/20
2020-03-31,S12000030,Older People Aged 65 and Older,Private Sector,NA,Stirling,2019/20
2020-03-31,S12000030,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Stirling,2019/20
2020-03-31,S12000033,Older People Aged 65 and Older,All Sectors,NA,Aberdeen City,2019/20
2020-03-31,S12000033,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Aberdeen City,2019/20
2020-03-31,S12000033,Older People Aged 65 and Older,Private Sector,NA,Aberdeen City,2019/20
2020-03-31,S12000033,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Aberdeen City,2019/20
2020-03-31,S12000034,Older People Aged 65 and Older,All Sectors,NA,Aberdeenshire,2019/20
2020-03-31,S12000034,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Aberdeenshire,2019/20
2020-03-31,S12000034,Older People Aged 65 and Older,Private Sector,NA,Aberdeenshire,2019/20
2020-03-31,S12000034,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Aberdeenshire,2019/20
2020-03-31,S12000035,Older People Aged 65 and Older,All Sectors,NA,Argyll and Bute,2019/20
2020-03-31,S12000035,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Argyll and Bute,2019/20
2020-03-31,S12000035,Older People Aged 65 and Older,Private Sector,NA,Argyll and Bute,2019/20
2020-03-31,S12000035,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Argyll and Bute,2019/20
2020-03-31,S12000036,Older People Aged 65 and Older,All Sectors,NA,City of Edinburgh,2019/20
2020-03-31,S12000036,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,City of Edinburgh,2019/20
2020-03-31,S12000036,Older People Aged 65 and Older,Private Sector,NA,City of Edinburgh,2019/20
2020-03-31,S12000036,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,City of Edinburgh,2019/20
2020-03-31,S12000038,Older People Aged 65 and Older,All Sectors,NA,Renfrewshire,2019/20
2020-03-31,S12000038,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Renfrewshire,2019/20
2020-03-31,S12000038,Older People Aged 65 and Older,Private Sector,NA,Renfrewshire,2019/20
2020-03-31,S12000038,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Renfrewshire,2019/20
2020-03-31,S12000039,Older People Aged 65 and Older,All Sectors,NA,West Dunbartonshire,2019/20
2020-03-31,S12000039,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,West Dunbartonshire,2019/20
2020-03-31,S12000039,Older People Aged 65 and Older,Private Sector,NA,West Dunbartonshire,2019/20
2020-03-31,S12000039,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,West Dunbartonshire,2019/20
2020-03-31,S12000040,Older People Aged 65 and Older,All Sectors,NA,West Lothian,2019/20
2020-03-31,S12000040,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,West Lothian,2019/20
2020-03-31,S12000040,Older People Aged 65 and Older,Private Sector,NA,West Lothian,2019/20
2020-03-31,S12000040,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,West Lothian,2019/20
2020-03-31,S12000041,Older People Aged 65 and Older,All Sectors,NA,Angus,2019/20
2020-03-31,S12000041,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Angus,2019/20
2020-03-31,S12000041,Older People Aged 65 and Older,Private Sector,NA,Angus,2019/20
2020-03-31,S12000041,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Angus,2019/20
2020-03-31,S12000042,Older People Aged 65 and Older,All Sectors,NA,Dundee City,2019/20
2020-03-31,S12000042,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Dundee City,2019/20
2020-03-31,S12000042,Older People Aged 65 and Older,Private Sector,NA,Dundee City,2019/20
2020-03-31,S12000042,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Dundee City,2019/20
2020-03-31,S12000045,Older People Aged 65 and Older,All Sectors,NA,East Dunbartonshire,2019/20
2020-03-31,S12000045,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,East Dunbartonshire,2019/20
2020-03-31,S12000045,Older People Aged 65 and Older,Private Sector,NA,East Dunbartonshire,2019/20
2020-03-31,S12000045,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,East Dunbartonshire,2019/20
2020-03-31,S12000047,Older People Aged 65 and Older,All Sectors,NA,Fife,2019/20
2020-03-31,S12000047,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Fife,2019/20
2020-03-31,S12000047,Older People Aged 65 and Older,Private Sector,NA,Fife,2019/20
2020-03-31,S12000047,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Fife,2019/20
2020-03-31,S12000048,Older People Aged 65 and Older,All Sectors,NA,Perth and Kinross,2019/20
2020-03-31,S12000048,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Perth and Kinross,2019/20
2020-03-31,S12000048,Older People Aged 65 and Older,Private Sector,NA,Perth and Kinross,2019/20
2020-03-31,S12000048,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Perth and Kinross,2019/20
2020-03-31,S12000049,Older People Aged 65 and Older,All Sectors,NA,Glasgow City,2019/20
2020-03-31,S12000049,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Glasgow City,2019/20
2020-03-31,S12000049,Older People Aged 65 and Older,Private Sector,NA,Glasgow City,2019/20
2020-03-31,S12000049,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Glasgow City,2019/20
2020-03-31,S12000050,Older People Aged 65 and Older,All Sectors,NA,North Lanarkshire,2019/20
2020-03-31,S12000050,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,North Lanarkshire,2019/20
2020-03-31,S12000050,Older People Aged 65 and Older,Private Sector,NA,North Lanarkshire,2019/20
2020-03-31,S12000050,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,North Lanarkshire,2019/20
2020-03-31,S92000003,Older People Aged 65 and Older,All Sectors,NA,Scotland,2019/20
2020-03-31,S92000003,Older People Aged 65 and Older,Local Authority/Health Board Sectors,NA,Scotland,2019/20
2020-03-31,S92000003,Older People Aged 65 and Older,Private Sector,NA,Scotland,2019/20
2020-03-31,S92000003,Older People Aged 65 and Older,Voluntary or Not for Profit Sector,NA,Scotland,2019/20
2020-03-31,S12000005,Other Groups,All Sectors,NA,Clackmannanshire,2019/20
2020-03-31,S12000006,Other Groups,All Sectors,NA,Dumfries and Galloway,2019/20
2020-03-31,S12000008,Other Groups,All Sectors,NA,East Ayrshire,2019/20
2020-03-31,S12000010,Other Groups,All Sectors,NA,East Lothian,2019/20
2020-03-31,S12000011,Other Groups,All Sectors,NA,East Renfrewshire,2019/20
