financial_year,council_area,sector,main_client_group,number_of_places
2020/21,Aberdeenshire,All Sectors,Learning Disabilities,120
2020/21,Aberdeenshire,All Sectors,Mental Health Problems,44
2020/21,Aberdeenshire,All Sectors,Older People Aged 65 and Older,1683
2020/21,Aberdeenshire,All Sectors,Other Groups,0
2020/21,Aberdeenshire,All Sectors,Physical and Sensory Impairment,0
2020/21,Aberdeenshire,Local Authority/Health Board Sectors,All Adults,327
2020/21,Aberdeenshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,308
2020/21,Aberdeenshire,Private Sector,All Adults,1285
2020/21,Aberdeenshire,Private Sector,Older People Aged 65 and Older,1246
2020/21,Aberdeenshire,Voluntary or Not for Profit Sector,All Adults,235
2020/21,Aberdeenshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,129
2020/21,Angus,All Sectors,All Adults,1106
2020/21,Angus,All Sectors,Learning Disabilities,38
2020/21,Angus,All Sectors,Mental Health Problems,0
2020/21,Angus,All Sectors,Older People Aged 65 and Older,1068
2020/21,Angus,All Sectors,Other Groups,0
2020/21,Angus,All Sectors,Physical and Sensory Impairment,0
2020/21,Angus,Local Authority/Health Board Sectors,All Adults,95
2020/21,Angus,Local Authority/Health Board Sectors,Older People Aged 65 and Older,82
2020/21,Angus,Private Sector,All Adults,982
2020/21,Angus,Private Sector,Older People Aged 65 and Older,957
2020/21,Angus,Voluntary or Not for Profit Sector,All Adults,29
2020/21,Angus,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,29
2020/21,Argyll and Bute,All Sectors,All Adults,509
2020/21,Argyll and Bute,All Sectors,Learning Disabilities,6
2020/21,Argyll and Bute,All Sectors,Mental Health Problems,0
2020/21,Argyll and Bute,All Sectors,Older People Aged 65 and Older,503
2020/21,Argyll and Bute,All Sectors,Other Groups,0
2020/21,Argyll and Bute,All Sectors,Physical and Sensory Impairment,0
2020/21,Argyll and Bute,Local Authority/Health Board Sectors,All Adults,89
2020/21,Argyll and Bute,Local Authority/Health Board Sectors,Older People Aged 65 and Older,89
2020/21,Argyll and Bute,Private Sector,All Adults,420
2020/21,Argyll and Bute,Private Sector,Older People Aged 65 and Older,414
2020/21,Argyll and Bute,Voluntary or Not for Profit Sector,All Adults,0
2020/21,Argyll and Bute,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2020/21,City of Edinburgh,All Sectors,All Adults,3229
2020/21,City of Edinburgh,All Sectors,Learning Disabilities,68
2020/21,City of Edinburgh,All Sectors,Mental Health Problems,15
2020/21,City of Edinburgh,All Sectors,Older People Aged 65 and Older,3079
2020/21,City of Edinburgh,All Sectors,Other Groups,20
2020/21,City of Edinburgh,All Sectors,Physical and Sensory Impairment,47
2020/21,City of Edinburgh,Local Authority/Health Board Sectors,All Adults,426
2020/21,City of Edinburgh,Local Authority/Health Board Sectors,Older People Aged 65 and Older,405
2020/21,City of Edinburgh,Private Sector,All Adults,2264
2020/21,City of Edinburgh,Private Sector,Older People Aged 65 and Older,2233
2020/21,City of Edinburgh,Voluntary or Not for Profit Sector,All Adults,539
2020/21,City of Edinburgh,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,441
2020/21,Clackmannanshire,All Sectors,All Adults,386
2020/21,Clackmannanshire,All Sectors,Learning Disabilities,40
2020/21,Clackmannanshire,All Sectors,Mental Health Problems,27
2020/21,Clackmannanshire,All Sectors,Older People Aged 65 and Older,282
2020/21,Clackmannanshire,All Sectors,Other Groups,0
2020/21,Clackmannanshire,All Sectors,Physical and Sensory Impairment,37
2020/21,Clackmannanshire,Local Authority/Health Board Sectors,All Adults,52
2020/21,Clackmannanshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,52
2020/21,Clackmannanshire,Private Sector,All Adults,280
2020/21,Clackmannanshire,Private Sector,Older People Aged 65 and Older,230
2020/21,Clackmannanshire,Voluntary or Not for Profit Sector,All Adults,54
2020/21,Clackmannanshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2020/21,Dumfries and Galloway,All Sectors,All Adults,1155
2020/21,Dumfries and Galloway,All Sectors,Learning Disabilities,26
2020/21,Dumfries and Galloway,All Sectors,Mental Health Problems,76
2020/21,Dumfries and Galloway,All Sectors,Older People Aged 65 and Older,1050
2020/21,Dumfries and Galloway,All Sectors,Other Groups,0
2020/21,Dumfries and Galloway,All Sectors,Physical and Sensory Impairment,3
2020/21,Dumfries and Galloway,Local Authority/Health Board Sectors,All Adults,3
2020/21,Dumfries and Galloway,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2020/21,Dumfries and Galloway,Private Sector,All Adults,890
2020/21,Dumfries and Galloway,Private Sector,Older People Aged 65 and Older,802
2020/21,Dumfries and Galloway,Voluntary or Not for Profit Sector,All Adults,262
2020/21,Dumfries and Galloway,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,248
2020/21,Dundee City,All Sectors,All Adults,1076
2020/21,Dundee City,All Sectors,Learning Disabilities,30
2020/21,Dundee City,All Sectors,Mental Health Problems,0
2020/21,Dundee City,All Sectors,Older People Aged 65 and Older,1005
2020/21,Dundee City,All Sectors,Other Groups,31
2020/21,Dundee City,All Sectors,Physical and Sensory Impairment,10
2020/21,Dundee City,Local Authority/Health Board Sectors,All Adults,101
2020/21,Dundee City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,88
2020/21,Dundee City,Private Sector,All Adults,922
2020/21,Dundee City,Private Sector,Older People Aged 65 and Older,867
2020/21,Dundee City,Voluntary or Not for Profit Sector,All Adults,53
2020/21,Dundee City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,50
2020/21,East Ayrshire,All Sectors,All Adults,954
2020/21,East Ayrshire,All Sectors,Learning Disabilities,40
2020/21,East Ayrshire,All Sectors,Mental Health Problems,24
2020/21,East Ayrshire,All Sectors,Older People Aged 65 and Older,880
2020/21,East Ayrshire,All Sectors,Other Groups,0
2020/21,East Ayrshire,All Sectors,Physical and Sensory Impairment,10
2020/21,East Ayrshire,Local Authority/Health Board Sectors,All Adults,2
2020/21,East Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,2
2020/21,East Ayrshire,Private Sector,All Adults,952
2020/21,East Ayrshire,Private Sector,Older People Aged 65 and Older,878
2020/21,East Ayrshire,Voluntary or Not for Profit Sector,All Adults,0
2020/21,East Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2020/21,East Dunbartonshire,All Sectors,All Adults,888
2020/21,East Dunbartonshire,All Sectors,Learning Disabilities,21
2020/21,East Dunbartonshire,All Sectors,Mental Health Problems,5
2020/21,East Dunbartonshire,All Sectors,Older People Aged 65 and Older,840
2020/21,East Dunbartonshire,All Sectors,Other Groups,0
2020/21,East Dunbartonshire,All Sectors,Physical and Sensory Impairment,22
2020/21,East Dunbartonshire,Local Authority/Health Board Sectors,All Adults,11
2020/21,East Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2020/21,East Dunbartonshire,Private Sector,All Adults,867
2020/21,East Dunbartonshire,Private Sector,Older People Aged 65 and Older,840
2020/21,East Dunbartonshire,Voluntary or Not for Profit Sector,All Adults,10
2020/21,East Dunbartonshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2020/21,East Lothian,All Sectors,All Adults,749
2020/21,East Lothian,All Sectors,Learning Disabilities,7
2020/21,East Lothian,All Sectors,Mental Health Problems,0
2020/21,East Lothian,All Sectors,Older People Aged 65 and Older,724
2020/21,East Lothian,All Sectors,Other Groups,0
2020/21,East Lothian,All Sectors,Physical and Sensory Impairment,18
2020/21,East Lothian,Local Authority/Health Board Sectors,All Adults,121
2020/21,East Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,121
2020/21,East Lothian,Private Sector,All Adults,573
2020/21,East Lothian,Private Sector,Older People Aged 65 and Older,566
2020/21,East Lothian,Voluntary or Not for Profit Sector,All Adults,55
2020/21,East Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,37
2020/21,East Renfrewshire,All Sectors,All Adults,769
2020/21,East Renfrewshire,All Sectors,Learning Disabilities,0
2020/21,East Renfrewshire,All Sectors,Mental Health Problems,0
2020/21,East Renfrewshire,All Sectors,Older People Aged 65 and Older,769
2020/21,East Renfrewshire,All Sectors,Other Groups,0
2020/21,East Renfrewshire,All Sectors,Physical and Sensory Impairment,0
2020/21,East Renfrewshire,Local Authority/Health Board Sectors,All Adults,34
2020/21,East Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,34
2020/21,East Renfrewshire,Private Sector,All Adults,621
2020/21,East Renfrewshire,Private Sector,Older People Aged 65 and Older,621
2020/21,East Renfrewshire,Voluntary or Not for Profit Sector,All Adults,114
2020/21,East Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,114
2020/21,Falkirk,All Sectors,All Adults,1121
2020/21,Falkirk,All Sectors,Learning Disabilities,118
2020/21,Falkirk,All Sectors,Mental Health Problems,41
2020/21,Falkirk,All Sectors,Older People Aged 65 and Older,962
2020/21,Falkirk,All Sectors,Other Groups,0
2020/21,Falkirk,All Sectors,Physical and Sensory Impairment,0
2020/21,Falkirk,Local Authority/Health Board Sectors,All Adults,151
2020/21,Falkirk,Local Authority/Health Board Sectors,Older People Aged 65 and Older,114
2020/21,Falkirk,Private Sector,All Adults,913
2020/21,Falkirk,Private Sector,Older People Aged 65 and Older,812
2020/21,Falkirk,Voluntary or Not for Profit Sector,All Adults,57
2020/21,Falkirk,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,36
2020/21,Fife,All Sectors,All Adults,3088
2020/21,Fife,All Sectors,Learning Disabilities,62
2020/21,Fife,All Sectors,Mental Health Problems,32
2020/21,Fife,All Sectors,Older People Aged 65 and Older,2950
2020/21,Fife,All Sectors,Other Groups,0
2020/21,Fife,All Sectors,Physical and Sensory Impairment,44
2020/21,Fife,Local Authority/Health Board Sectors,All Adults,348
2020/21,Fife,Local Authority/Health Board Sectors,Older People Aged 65 and Older,334
2020/21,Fife,Private Sector,All Adults,2651
2020/21,Fife,Private Sector,Older People Aged 65 and Older,2548
2020/21,Fife,Voluntary or Not for Profit Sector,All Adults,89
2020/21,Fife,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,68
2020/21,Glasgow City,All Sectors,All Adults,4629
2020/21,Glasgow City,All Sectors,Learning Disabilities,75
2020/21,Glasgow City,All Sectors,Mental Health Problems,199
2020/21,Glasgow City,All Sectors,Older People Aged 65 and Older,4150
2020/21,Glasgow City,All Sectors,Other Groups,146
2020/21,Glasgow City,All Sectors,Physical and Sensory Impairment,59
2020/21,Glasgow City,Local Authority/Health Board Sectors,All Adults,550
2020/21,Glasgow City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,550
2020/21,Glasgow City,Private Sector,All Adults,3369
2020/21,Glasgow City,Private Sector,Older People Aged 65 and Older,3292
2020/21,Glasgow City,Voluntary or Not for Profit Sector,All Adults,710
2020/21,Glasgow City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,308
2020/21,Highland,All Sectors,All Adults,2081
2020/21,Highland,All Sectors,Learning Disabilities,101
2020/21,Highland,All Sectors,Mental Health Problems,92
2020/21,Highland,All Sectors,Older People Aged 65 and Older,1814
2020/21,Highland,All Sectors,Other Groups,15
2020/21,Highland,All Sectors,Physical and Sensory Impairment,59
2020/21,Highland,Local Authority/Health Board Sectors,All Adults,244
2020/21,Highland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,244
2020/21,Highland,Private Sector,All Adults,1559
2020/21,Highland,Private Sector,Older People Aged 65 and Older,1355
2020/21,Highland,Voluntary or Not for Profit Sector,All Adults,278
2020/21,Highland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,215
2020/21,Inverclyde,All Sectors,All Adults,748
2020/21,Inverclyde,All Sectors,Learning Disabilities,34
2020/21,Inverclyde,All Sectors,Mental Health Problems,9
2020/21,Inverclyde,All Sectors,Older People Aged 65 and Older,692
2020/21,Inverclyde,All Sectors,Other Groups,0
2020/21,Inverclyde,All Sectors,Physical and Sensory Impairment,13
2020/21,Inverclyde,Local Authority/Health Board Sectors,All Adults,4
2020/21,Inverclyde,Local Authority/Health Board Sectors,Older People Aged 65 and Older,4
2020/21,Inverclyde,Private Sector,All Adults,540
2020/21,Inverclyde,Private Sector,Older People Aged 65 and Older,540
2020/21,Inverclyde,Voluntary or Not for Profit Sector,All Adults,204
2020/21,Inverclyde,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,148
2020/21,Midlothian,All Sectors,All Adults,541
2020/21,Midlothian,All Sectors,Learning Disabilities,18
2020/21,Midlothian,All Sectors,Mental Health Problems,0
2020/21,Midlothian,All Sectors,Older People Aged 65 and Older,523
2020/21,Midlothian,All Sectors,Other Groups,0
2020/21,Midlothian,All Sectors,Physical and Sensory Impairment,0
2020/21,Midlothian,Local Authority/Health Board Sectors,All Adults,101
2020/21,Midlothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,101
2020/21,Midlothian,Private Sector,All Adults,382
2020/21,Midlothian,Private Sector,Older People Aged 65 and Older,374
2020/21,Midlothian,Voluntary or Not for Profit Sector,All Adults,58
2020/21,Midlothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,48
2020/21,Moray,All Sectors,All Adults,596
2020/21,Moray,All Sectors,Learning Disabilities,12
2020/21,Moray,All Sectors,Mental Health Problems,0
2020/21,Moray,All Sectors,Older People Aged 65 and Older,584
2020/21,Moray,All Sectors,Other Groups,0
2020/21,Moray,All Sectors,Physical and Sensory Impairment,0
2020/21,Moray,Local Authority/Health Board Sectors,All Adults,2
2020/21,Moray,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2020/21,Moray,Private Sector,All Adults,531
2020/21,Moray,Private Sector,Older People Aged 65 and Older,531
2020/21,Moray,Voluntary or Not for Profit Sector,All Adults,63
2020/21,Moray,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,53
2020/21,Na h-Eileanan Siar,All Sectors,All Adults,226
2020/21,Na h-Eileanan Siar,All Sectors,Learning Disabilities,12
2020/21,Na h-Eileanan Siar,All Sectors,Mental Health Problems,0
2020/21,Na h-Eileanan Siar,All Sectors,Older People Aged 65 and Older,214
2020/21,Na h-Eileanan Siar,All Sectors,Other Groups,0
2020/21,Na h-Eileanan Siar,All Sectors,Physical and Sensory Impairment,0
2020/21,Na h-Eileanan Siar,Local Authority/Health Board Sectors,All Adults,139
2020/21,Na h-Eileanan Siar,Local Authority/Health Board Sectors,Older People Aged 65 and Older,127
2020/21,Na h-Eileanan Siar,Private Sector,All Adults,40
2020/21,Na h-Eileanan Siar,Private Sector,Older People Aged 65 and Older,40
2020/21,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,All Adults,47
2020/21,Na h-Eileanan Siar,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,47
2020/21,North Ayrshire,All Sectors,All Adults,1031
2020/21,North Ayrshire,All Sectors,Learning Disabilities,56
2020/21,North Ayrshire,All Sectors,Mental Health Problems,8
2020/21,North Ayrshire,All Sectors,Older People Aged 65 and Older,942
2020/21,North Ayrshire,All Sectors,Other Groups,0
2020/21,North Ayrshire,All Sectors,Physical and Sensory Impairment,25
2020/21,North Ayrshire,Local Authority/Health Board Sectors,All Adults,50
2020/21,North Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,44
2020/21,North Ayrshire,Private Sector,All Adults,885
2020/21,North Ayrshire,Private Sector,Older People Aged 65 and Older,828
2020/21,North Ayrshire,Voluntary or Not for Profit Sector,All Adults,96
2020/21,North Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,70
2020/21,North Lanarkshire,All Sectors,All Adults,1839
2020/21,North Lanarkshire,All Sectors,Learning Disabilities,14
2020/21,North Lanarkshire,All Sectors,Mental Health Problems,80
2020/21,North Lanarkshire,All Sectors,Older People Aged 65 and Older,1719
2020/21,North Lanarkshire,All Sectors,Other Groups,0
2020/21,North Lanarkshire,All Sectors,Physical and Sensory Impairment,26
2020/21,North Lanarkshire,Local Authority/Health Board Sectors,All Adults,21
2020/21,North Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,21
2020/21,North Lanarkshire,Private Sector,All Adults,1778
2020/21,North Lanarkshire,Private Sector,Older People Aged 65 and Older,1658
2020/21,North Lanarkshire,Voluntary or Not for Profit Sector,All Adults,40
2020/21,North Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,40
2020/21,Orkney Islands,All Sectors,All Adults,117
2020/21,Orkney Islands,All Sectors,Learning Disabilities,8
2020/21,Orkney Islands,All Sectors,Mental Health Problems,0
2020/21,Orkney Islands,All Sectors,Older People Aged 65 and Older,109
2020/21,Orkney Islands,All Sectors,Other Groups,0
2020/21,Orkney Islands,All Sectors,Physical and Sensory Impairment,0
2020/21,Orkney Islands,Local Authority/Health Board Sectors,All Adults,113
2020/21,Orkney Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,109
2020/21,Orkney Islands,Private Sector,All Adults,0
2020/21,Orkney Islands,Private Sector,Older People Aged 65 and Older,0
2020/21,Orkney Islands,Voluntary or Not for Profit Sector,All Adults,4
2020/21,Orkney Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2020/21,Perth and Kinross,All Sectors,All Adults,1484
2020/21,Perth and Kinross,All Sectors,Learning Disabilities,96
2020/21,Perth and Kinross,All Sectors,Mental Health Problems,0
2020/21,Perth and Kinross,All Sectors,Older People Aged 65 and Older,1329
2020/21,Perth and Kinross,All Sectors,Other Groups,0
2020/21,Perth and Kinross,All Sectors,Physical and Sensory Impairment,59
2020/21,Perth and Kinross,Local Authority/Health Board Sectors,All Adults,55
2020/21,Perth and Kinross,Local Authority/Health Board Sectors,Older People Aged 65 and Older,55
2020/21,Perth and Kinross,Private Sector,All Adults,1183
2020/21,Perth and Kinross,Private Sector,Older People Aged 65 and Older,1130
2020/21,Perth and Kinross,Voluntary or Not for Profit Sector,All Adults,246
2020/21,Perth and Kinross,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,144
2020/21,Renfrewshire,All Sectors,All Adults,1488
2020/21,Renfrewshire,All Sectors,Learning Disabilities,27
2020/21,Renfrewshire,All Sectors,Mental Health Problems,0
2020/21,Renfrewshire,All Sectors,Older People Aged 65 and Older,1407
2020/21,Renfrewshire,All Sectors,Other Groups,34
2020/21,Renfrewshire,All Sectors,Physical and Sensory Impairment,20
2020/21,Renfrewshire,Local Authority/Health Board Sectors,All Adults,178
2020/21,Renfrewshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,168
2020/21,Renfrewshire,Private Sector,All Adults,1031
2020/21,Renfrewshire,Private Sector,Older People Aged 65 and Older,989
2020/21,Renfrewshire,Voluntary or Not for Profit Sector,All Adults,279
2020/21,Renfrewshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,250
2020/21,Scotland,All Sectors,All Adults,40609
2020/21,Scotland,All Sectors,Learning Disabilities,1542
2020/21,Scotland,All Sectors,Mental Health Problems,930
2020/21,Scotland,All Sectors,Older People Aged 65 and Older,37229
2020/21,Scotland,All Sectors,Other Groups,308
2020/21,Scotland,All Sectors,Physical and Sensory Impairment,600
2020/21,Scotland,Local Authority/Health Board Sectors,All Adults,4219
2020/21,Scotland,Local Authority/Health Board Sectors,Learning Disabilities,166
2020/21,Scotland,Local Authority/Health Board Sectors,Mental Health Problems,18
2020/21,Scotland,Local Authority/Health Board Sectors,Older People Aged 65 and Older,4025
2020/21,Scotland,Local Authority/Health Board Sectors,Other Groups,0
2020/21,Scotland,Local Authority/Health Board Sectors,Physical and Sensory Impairment,10
2020/21,Scotland,Private Sector,All Adults,31734
2020/21,Scotland,Private Sector,Learning Disabilities,606
2020/21,Scotland,Private Sector,Mental Health Problems,590
2020/21,Scotland,Private Sector,Older People Aged 65 and Older,30202
2020/21,Scotland,Private Sector,Other Groups,93
2020/21,Scotland,Private Sector,Physical and Sensory Impairment,243
2020/21,Scotland,Voluntary or Not for Profit Sector,All Adults,4656
2020/21,Scotland,Voluntary or Not for Profit Sector,Learning Disabilities,770
2020/21,Scotland,Voluntary or Not for Profit Sector,Mental Health Problems,322
2020/21,Scotland,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,3002
2020/21,Scotland,Voluntary or Not for Profit Sector,Other Groups,215
2020/21,Scotland,Voluntary or Not for Profit Sector,Physical and Sensory Impairment,347
2020/21,Scottish Borders,All Sectors,All Adults,797
2020/21,Scottish Borders,All Sectors,Learning Disabilities,51
2020/21,Scottish Borders,All Sectors,Mental Health Problems,0
2020/21,Scottish Borders,All Sectors,Older People Aged 65 and Older,746
2020/21,Scottish Borders,All Sectors,Other Groups,0
2020/21,Scottish Borders,All Sectors,Physical and Sensory Impairment,0
2020/21,Scottish Borders,Local Authority/Health Board Sectors,All Adults,168
2020/21,Scottish Borders,Local Authority/Health Board Sectors,Older People Aged 65 and Older,168
2020/21,Scottish Borders,Private Sector,All Adults,578
2020/21,Scottish Borders,Private Sector,Older People Aged 65 and Older,578
2020/21,Scottish Borders,Voluntary or Not for Profit Sector,All Adults,51
2020/21,Scottish Borders,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2020/21,Shetland Islands,All Sectors,All Adults,158
2020/21,Shetland Islands,All Sectors,Learning Disabilities,9
2020/21,Shetland Islands,All Sectors,Mental Health Problems,0
2020/21,Shetland Islands,All Sectors,Older People Aged 65 and Older,149
2020/21,Shetland Islands,All Sectors,Other Groups,0
2020/21,Shetland Islands,All Sectors,Physical and Sensory Impairment,0
2020/21,Shetland Islands,Local Authority/Health Board Sectors,All Adults,142
2020/21,Shetland Islands,Local Authority/Health Board Sectors,Older People Aged 65 and Older,133
2020/21,Shetland Islands,Private Sector,All Adults,0
2020/21,Shetland Islands,Private Sector,Older People Aged 65 and Older,0
2020/21,Shetland Islands,Voluntary or Not for Profit Sector,All Adults,16
2020/21,Shetland Islands,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,16
2020/21,South Ayrshire,All Sectors,All Adults,1214
2020/21,South Ayrshire,All Sectors,Learning Disabilities,87
2020/21,South Ayrshire,All Sectors,Mental Health Problems,0
2020/21,South Ayrshire,All Sectors,Older People Aged 65 and Older,1107
2020/21,South Ayrshire,All Sectors,Other Groups,0
2020/21,South Ayrshire,All Sectors,Physical and Sensory Impairment,20
2020/21,South Ayrshire,Local Authority/Health Board Sectors,All Adults,58
2020/21,South Ayrshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,54
2020/21,South Ayrshire,Private Sector,All Adults,1001
2020/21,South Ayrshire,Private Sector,Older People Aged 65 and Older,957
2020/21,South Ayrshire,Voluntary or Not for Profit Sector,All Adults,155
2020/21,South Ayrshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,96
2020/21,South Lanarkshire,All Sectors,All Adults,2736
2020/21,South Lanarkshire,All Sectors,Learning Disabilities,92
2020/21,South Lanarkshire,All Sectors,Mental Health Problems,79
2020/21,South Lanarkshire,All Sectors,Older People Aged 65 and Older,2521
2020/21,South Lanarkshire,All Sectors,Other Groups,28
2020/21,South Lanarkshire,All Sectors,Physical and Sensory Impairment,16
2020/21,South Lanarkshire,Local Authority/Health Board Sectors,All Adults,213
2020/21,South Lanarkshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,213
2020/21,South Lanarkshire,Private Sector,All Adults,2233
2020/21,South Lanarkshire,Private Sector,Older People Aged 65 and Older,2103
2020/21,South Lanarkshire,Voluntary or Not for Profit Sector,All Adults,290
2020/21,South Lanarkshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,205
2020/21,Stirling,All Sectors,All Adults,744
2020/21,Stirling,All Sectors,Learning Disabilities,97
2020/21,Stirling,All Sectors,Mental Health Problems,84
2020/21,Stirling,All Sectors,Older People Aged 65 and Older,546
2020/21,Stirling,All Sectors,Other Groups,0
2020/21,Stirling,All Sectors,Physical and Sensory Impairment,17
2020/21,Stirling,Local Authority/Health Board Sectors,All Adults,96
2020/21,Stirling,Local Authority/Health Board Sectors,Older People Aged 65 and Older,96
2020/21,Stirling,Private Sector,All Adults,525
2020/21,Stirling,Private Sector,Older People Aged 65 and Older,403
2020/21,Stirling,Voluntary or Not for Profit Sector,All Adults,123
2020/21,Stirling,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,47
2020/21,West Dunbartonshire,All Sectors,All Adults,703
2020/21,West Dunbartonshire,All Sectors,Learning Disabilities,6
2020/21,West Dunbartonshire,All Sectors,Mental Health Problems,32
2020/21,West Dunbartonshire,All Sectors,Older People Aged 65 and Older,665
2020/21,West Dunbartonshire,All Sectors,Other Groups,0
2020/21,West Dunbartonshire,All Sectors,Physical and Sensory Impairment,0
2020/21,West Dunbartonshire,Local Authority/Health Board Sectors,All Adults,168
2020/21,West Dunbartonshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,168
2020/21,West Dunbartonshire,Private Sector,All Adults,529
2020/21,West Dunbartonshire,Private Sector,Older People Aged 65 and Older,497
2020/21,West Dunbartonshire,Voluntary or Not for Profit Sector,All Adults,6
2020/21,West Dunbartonshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2020/21,West Lothian,All Sectors,All Adults,950
2020/21,West Lothian,All Sectors,Learning Disabilities,68
2020/21,West Lothian,All Sectors,Mental Health Problems,0
2020/21,West Lothian,All Sectors,Older People Aged 65 and Older,861
2020/21,West Lothian,All Sectors,Other Groups,0
2020/21,West Lothian,All Sectors,Physical and Sensory Impairment,21
2020/21,West Lothian,Local Authority/Health Board Sectors,All Adults,157
2020/21,West Lothian,Local Authority/Health Board Sectors,Older People Aged 65 and Older,141
2020/21,West Lothian,Private Sector,All Adults,733
2020/21,West Lothian,Private Sector,Older People Aged 65 and Older,720
2020/21,West Lothian,Voluntary or Not for Profit Sector,All Adults,60
2020/21,West Lothian,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,0
2021/22,Aberdeen City,All Sectors,All Adults,1634
2021/22,Aberdeen City,All Sectors,Learning Disabilities,103
2021/22,Aberdeen City,All Sectors,Mental Health Problems,83
2021/22,Aberdeen City,All Sectors,Older People Aged 65 and Older,1316
2021/22,Aberdeen City,All Sectors,Other Groups,38
2021/22,Aberdeen City,All Sectors,Physical and Sensory Impairment,94
2021/22,Aberdeen City,Local Authority/Health Board Sectors,All Adults,0
2021/22,Aberdeen City,Local Authority/Health Board Sectors,Older People Aged 65 and Older,0
2021/22,Aberdeen City,Private Sector,All Adults,1197
2021/22,Aberdeen City,Private Sector,Older People Aged 65 and Older,1153
2021/22,Aberdeen City,Voluntary or Not for Profit Sector,All Adults,437
2021/22,Aberdeen City,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,163
2021/22,Aberdeenshire,All Sectors,All Adults,1832
2021/22,Aberdeenshire,All Sectors,Learning Disabilities,116
2021/22,Aberdeenshire,All Sectors,Mental Health Problems,44
2021/22,Aberdeenshire,All Sectors,Older People Aged 65 and Older,1672
2021/22,Aberdeenshire,All Sectors,Other Groups,0
2021/22,Aberdeenshire,All Sectors,Physical and Sensory Impairment,0
2021/22,Aberdeenshire,Local Authority/Health Board Sectors,All Adults,327
2021/22,Aberdeenshire,Local Authority/Health Board Sectors,Older People Aged 65 and Older,308
2021/22,Aberdeenshire,Private Sector,All Adults,1274
2021/22,Aberdeenshire,Private Sector,Older People Aged 65 and Older,1235
2021/22,Aberdeenshire,Voluntary or Not for Profit Sector,All Adults,231
2021/22,Aberdeenshire,Voluntary or Not for Profit Sector,Older People Aged 65 and Older,129
2021/22,Angus,All Sectors,All Adults,1105
2021/22,Angus,All Sectors,Learning Disabilities,38
2021/22,Angus,All Sectors,Mental Health Problems,0
2021/22,Angus,All Sectors,Older People Aged 65 and Older,1067
